player_id,season,award_name
682998,2025,NL All-Star
682998,2025,NL Silver Slugger
682998,2025,All-MLB Second Team
663536,2025,PCL Player of the Week
686826,2025,PCL Pitcher of the Week
691783,2025,PCL Player of the Month
691783,2025,Baseball America Triple-A All-Star
691783,2025,PCL Post-Season All-Star
682988,2025,PCL Player of the Week
682988,2025,PCL Player of the Month
682988,2025,PCL Post-Season All-Star
606466,2025,NL All-Star
606466,2025,NL Silver Slugger
606466,2025,All-MLB First Team
672695,2025,MLBPAA Diamondbacks Heart and Hustle Award
672695,2025,NL Silver Slugger
553993,2025,NL Player of the Week
553993,2025,NL Player of the Week
553993,2025,NL Player of the Week
553993,2025,NL All-Star
553993,2025,NL Player of the Week
