player_id,full_name,jersey_number,position,position_type,status
691769,Philip Abner,50,P,Pitcher,Active
677942,Blaze Alexander,9,SS,Infielder,Active
679775,Kyle Backhus,43,P,Pitcher,Active
678489,Jorge Barrosa,1,LF,Outfielder,Active
656222,Jalen Beeks,68,P,Pitcher,Active
656257,Jeff Brigham,34,P,Pitcher,Released
686228,Juan Burgos,52,P,Pitcher,Active
669203,Corbin Burnes,39,P,Pitcher,Injured 60-Day
682998,Corbin Carroll,7,RF,Outfielder,Active
620454,José Castillo,66,P,Pitcher,Traded
622503,Nabil Crismatt,61,P,Pitcher,Minor League Contract
595928,John Curtiss,46,P,Pitcher,Active
543101,Anthony DeSclafani,21,P,Pitcher,Released
680728,Adrian Del Castillo,25,C,Catcher,Active
700270,Yilber Díaz,30,P,Pitcher,Active
663536,Tristin English,30,OF,Outfielder,Minor League Contract
656420,J.P. Feyereisen,61,P,Pitcher,Claimed
668678,Zac Gallen,23,P,Pitcher,Active
605244,Aramis Garcia,35,C,Catcher,Minor League Contract
805299,Brandyn Garcia,55,P,Pitcher,Active
656464,Kevin Ginkel,37,P,Pitcher,Injured 60-Day
608665,Kendall Graveman,49,P,Pitcher,Released
545341,Randal Grichuk,15,RF,Outfielder,Traded
666971,Lourdes Gurriel Jr.,12,LF,Outfielder,Active
641658,Garrett Hampson,8,2B,Infielder,Released
674072,Tommy Henry,47,P,Pitcher,Injured 60-Day
645444,Jose Herrera,11,C,Catcher,Minor League Contract
694851,Andrew Hoffmann,56,P,Pitcher,Active
686753,Drey Jameson,99,P,Pitcher,Active
686826,Bryce Jarvis,40,P,Pitcher,Active
663731,Connor Kaiser,65,SS,Infielder,Active
543391,Casey Kelly,60,P,Pitcher,Active
518876,Merrill Kelly,29,P,Pitcher,Traded
691783,Jordan Lawlar,10,SS,Infielder,Active
682988,Tyler Locklear,28,1B,Infielder,Active
573009,Joe Mantiply,35,P,Pitcher,Released
606466,Ketel Marte,4,2B,Infielder,Active
679885,Justin Martinez,63,P,Pitcher,Injured 60-Day
543510,James McCann,8,C,Catcher,Active
664983,Jake McCarthy,31,CF,Outfielder,Active
543518,Scott McGough,30,P,Pitcher,Minor League Contract
691441,Cristian Mena,64,P,Pitcher,Injured 60-Day
571946,Shelby Miller,18,P,Pitcher,Traded
801216,Christian Montes De Oca,59,P,Pitcher,Injured 60-Day
672515,Gabriel Moreno,14,C,Catcher,Active
666661,Juan Morillo,67,P,Pitcher,Active
647304,Josh Naylor,22,1B,Infielder,Traded
669459,Kyle Nelson,24,P,Pitcher,Active
669194,Ryne Nelson,19,P,Pitcher,Active
672695,Geraldo Perdomo,2,SS,Infielder,Active
694297,Brandon Pfaadt,32,P,Pitcher,Active
687166,Austin Pope,66,P,Pitcher,Active
640462,A.J. Puk,33,P,Pitcher,Injured 60-Day
688497,Taylor Rashi,54,P,Pitcher,Active
670950,Trevor Richards,38,P,Pitcher,Minor League Contract
593958,Eduardo Rodriguez,57,P,Pitcher,Active
685314,Andrew Saalfrank,27,P,Pitcher,Active
605463,Tayler Scott,53,P,Pitcher,Minor League Contract
656976,Pavin Smith,26,1B,Infielder,Injured 60-Day
553993,Eugenio Suárez,28,3B,Infielder,Traded
694374,Tim Tawa,13,2B,Infielder,Active
677950,Alek Thomas,5,CF,Outfielder,Active
657044,Ryan Thompson,81,P,Pitcher,Active
545121,Ildemaro Vargas,6,2B,Infielder,Active
663765,Jake Woodford,41,P,Pitcher,Minor League Contract
